video_id,title,channel,channel_id,published_at,duration_sec,view_count,like_count,comment_count,keyword,layer,subscribers,days_since,vpd,engagement_rate,views_per_sub,description,url,form,year,published_date,content_type,in_howto_playlist,howto_text_match,howto_playlist_titles,relation
Ukpvz-1Jlhg,[How To 주식] 1.주식투자 어떻게 시작할까?,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-06T08:00:01Z,205,578,9,0,금융투자 HOW TO,재생목록+표기매칭,43700,2768.9,0.2,1.557,0.0132,"""주식투자 어떻게 하면 좋을지"" 라는 주제로,
일반투자자의 투자 현실과 주식투자에 대한 대표적인 오해들을 살펴봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=Ukpvz-1Jlhg,롱폼,2018,2018-12-06,longform,1,1,How To 주식투자,재생목록+표기매칭
XADFgmhORYg,[How To 주식] 2.성공투자를 위한 주식분석,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-06T08:15:01Z,362,367,5,0,금융투자 HOW TO,재생목록+표기매칭,43700,2768.9,0.1,1.362,0.0084,"주식투자를 위해 주식분석 원칙을 세우는데 도움이 될 수 있는 이야기를 하고, 기본적인 분석에 대해 설명합니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=XADFgmhORYg,롱폼,2018,2018-12-06,longform,1,1,How To 주식투자,재생목록+표기매칭
NpD1EC4LO1o,"[How To 주식] 3.장부가치, 미래가치, 배당가치",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-06T08:30:00Z,273,525,6,0,금융투자 HOW TO,재생목록+표기매칭,43700,2768.9,0.2,1.143,0.012,"기본적분석 중에서 장부가치, 미래가치, 배당가치로 주식가치를 가늠하는 법을 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=NpD1EC4LO1o,롱폼,2018,2018-12-06,longform,1,1,How To 주식투자,재생목록+표기매칭
DFHIcszKQ1E,[How To 주식] 4.기술적분석을 통한 주식투자 방법,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-06T08:45:00Z,369,365,3,0,금융투자 HOW TO,재생목록+표기매칭,43700,2768.9,0.1,0.822,0.0084,"기술적분석(캔들과 차트, 차트의 추세와 패턴)에 대해서 안내합니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=DFHIcszKQ1E,롱폼,2018,2018-12-06,longform,1,1,How To 주식투자,재생목록+표기매칭
s3hfrqYFycE,[How to ELS/DLS] 1.돌아온 황금알 ELS,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T09:00:05Z,609,266,1,1,금융투자 HOW TO,재생목록+표기매칭,43700,2767.9,0.1,0.752,0.0061,"ELS/DLS가 다시 각광 받고 있습니다. 그 이유에 대해서 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=s3hfrqYFycE,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
K2z_UIF9nCQ,[How to ELS/DLS] 2.ELS 투자설명서 씹어먹기,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T09:15:00Z,542,265,4,0,금융투자 HOW TO,재생목록+표기매칭,43700,2767.9,0.1,1.509,0.0061,"ELS 투자설명서 보는 방법과 중요하게 체크해야 할 점은 무엇인지 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=K2z_UIF9nCQ,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
DChqHERzuI0,[How to ELS/DLS] 3.ELS 위험 줄이기,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T09:30:00Z,467,104,0,0,금융투자 HOW TO,재생목록+표기매칭,43700,2767.9,0.0,0.0,0.0024,"ELS를 가입하면서 위험을 어떻게 줄이고, 실전에 어떻게 해야 할지를 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=DChqHERzuI0,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
ycDSces4OaE,[How to ELS/DLS] 4.나를 위한 ELS 찾는법,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T09:45:00Z,558,69,0,0,금융투자 HOW TO,재생목록+표기매칭,43700,2767.9,0.0,0.0,0.0016,"나에게 맞는, 나를 위한 els를 찾는 방법을 알아보도록 하겠습니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=ycDSces4OaE,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
ZYNvxC6BwvU,[How to ELS/DLS] 5.DLS 선택하기,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T10:00:07Z,523,146,0,0,금융투자 HOW TO,재생목록+표기매칭,43700,2767.9,0.1,0.0,0.0033,"지난 시간까지 ELS의 기본과 실전 대해 알아봤습니다.
이번 시간에는 DLS에 대해 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=ZYNvxC6BwvU,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
G30x6l9cITg,[How to ELS/DLS] 6.DLS 진화,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2018-12-07T10:15:00Z,465,104,2,0,금융투자 HOW TO,재생목록+표기매칭,43700,2767.8,0.0,1.923,0.0024,"점점 더 다양해지고 있는 DLS의 유형과 투자방법에 대해 알아봅니다.

# 나는 제대로 투자하고 있는 걸까?  '알투플러스' 투자검진 받아보기!! https://ktest.kofia.or.kr/
● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 포스트 : http://naver.me/xOG0WSVH
● 투교협 유튜브 : https://www.youtube.com/user/kcie01/featured",https://www.youtube.com/watch?v=G30x6l9cITg,롱폼,2018,2018-12-07,longform,1,1,How to ELS/DLS,재생목록+표기매칭
