video_id,title,channel,channel_id,institution,institution_type,official_status,credibility_note,published_at,duration_sec,view_count,like_count,comment_count,description,url,form,content_type,is_investment_related,is_risk_safety_related,matched_investment_keywords,matched_risk_keywords,subscribers,published_date,year,days_since,vpd,engagement_rate,views_per_sub
46cbf60gAfU,중복상장 가이드라인 발표,KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-07-10T00:42:50Z,57,220,3,0,"한국거래소가 중복상장 가이드라인을 발표했습니다. 또한, 금융위원회에서 일반주주에게 비대칭적인 손해를 끼치는 중복상장의 금지 원칙을 발표했습니다. 주요 사항을 정리해서 알려드립니다.",https://www.youtube.com/watch?v=46cbf60gAfU,쇼츠(60s이하),shorts,1,0,상장,,7230,2026-07-10,2026,1.0,220.0,1.364,0.0304
_gBWkFz4Lhs,(주)레몬헬스케어 코스닥 상장식 (2026.07.06),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-07-06T08:00:23Z,195,142,1,0,,https://www.youtube.com/watch?v=_gBWkFz4Lhs,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-07-06,2026,3.9,36.4,0.704,0.0196
6o02m_qM9Tc,"코스닥시장 30주년 기념식, 성황리에 개최",KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-07-03T08:52:28Z,58,720,6,2,코스닥 개장 30주년 기념식이 개최되었습니다. 정은보 이사장의 인사말씀 주요 내용을 전해드립니다.,https://www.youtube.com/watch?v=6o02m_qM9Tc,쇼츠(60s이하),shorts,1,0,코스닥,,7230,2026-07-03,2026,6.9,104.3,1.111,0.0996
HCp0-_260jg,(주) 매드업 코스닥 상장식 (2026.07.01),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-07-02T03:00:16Z,186,113,0,0,,https://www.youtube.com/watch?v=HCp0-_260jg,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-07-02,2026,8.1,14.0,0.0,0.0156
PvwutNjvnEQ,BIO USA 2026에서 글로벌 바이오 유망기업 코스닥 상장 유치,KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-30T08:58:06Z,61,2209,8,0,한국거래소가 샌디에이고 BIO USA 2026에서 글로벌 바이오기업을 대상으로 코스닥 상장 절차·기술특례제도·IPO 준비를 안내했습니다.,https://www.youtube.com/watch?v=PvwutNjvnEQ,쇼츠추정(61-180s),shorts_estimated,1,0,"코스닥, 상장",,7230,2026-06-30,2026,9.9,223.1,0.362,0.3055
r2Fa8m4aF0c,(주)스트라드비젼 코스닥 상장식 (2026.06.30),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-30T08:00:24Z,191,422,4,0,,https://www.youtube.com/watch?v=r2Fa8m4aF0c,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-06-30,2026,9.9,42.6,0.948,0.0584
feX_5AKUWkA,(주)져스텍 코스닥 상장식 (2026.06.29),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-29T08:30:23Z,187,104,2,0,,https://www.youtube.com/watch?v=feX_5AKUWkA,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-06-29,2026,10.9,9.5,1.923,0.0144
rJBWWZbSi70,"코스닥시장 30주년 기념식 개최, 많은 관심 부탁드립니다",KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-25T09:26:59Z,32,912,8,0,한국거래소가 여의도에서 코스닥시장 개장 30주년 기념식을 개최합니다.,https://www.youtube.com/watch?v=rJBWWZbSi70,쇼츠(60s이하),shorts,1,0,코스닥,,7230,2026-06-25,2026,14.9,61.2,0.877,0.1261
iiEESwHfFeM,"코스피 사상 첫 9,000 돌파",KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-18T07:45:49Z,52,853,8,1,"코스피가 사상 최초로 9,000선을 돌파하고 시가총액 7,413조원을 기록했습니다.",https://www.youtube.com/watch?v=iiEESwHfFeM,쇼츠(60s이하),shorts,1,0,코스피,,7230,2026-06-18,2026,21.9,38.9,1.055,0.118
OpzKmPfIf5A,K-ITAS(상장법인 내부자거래 알림서비스) 전면 개편,KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-18T04:54:45Z,58,311,6,0,K-ITAS(상장법인 내부자거래 알림서비스) 전면 개편,https://www.youtube.com/watch?v=OpzKmPfIf5A,쇼츠(60s이하),shorts,1,0,상장,,7230,2026-06-18,2026,22.1,14.1,1.929,0.043
Pm3OVGV7dx0,(주)세미티에스 코스닥 상장식 (2026.06.10),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-10T08:30:20Z,186,402,5,0,,https://www.youtube.com/watch?v=Pm3OVGV7dx0,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-06-10,2026,29.9,13.4,1.244,0.0556
2HTQaRuAugw,피스피스스튜디오(주) 코스닥 상장식 (2026.06.08),KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,한국거래소,시장 인프라,공식 채널,증권·파생상품 시장 운영기관,2026-06-09T23:30:37Z,181,164,0,0,,https://www.youtube.com/watch?v=2HTQaRuAugw,롱폼,longform,1,0,"코스닥, 상장",,7230,2026-06-09,2026,30.3,5.4,0.0,0.0227
